model,val__auroc,val__auprc,val__brier,val__precision_at_top10pct,val__recall_at_top10pct,val__f1_at_top10pct,val__top10_threshold,val__precision_at_top20pct,val__recall_at_top20pct,val__f1_at_top20pct,val__top20_threshold,test__auroc,test__auprc,test__brier,test__precision_at_top10pct,test__recall_at_top10pct,test__f1_at_top10pct,test__top10_threshold,test__precision_at_top20pct,test__recall_at_top20pct,test__f1_at_top20pct,test__top20_threshold,test__precision_at_val_top10_threshold,test__recall_at_val_top10_threshold,test__f1_at_val_top10_threshold,test__val_top10_threshold_used
improved_multimodal_gru_transformer,0.781423611111111,0.40236105069836914,0.07100331389866114,0.2077922077922078,0.3333333333333333,0.256,0.4179084539413455,0.18831168831168832,0.6041666666666666,0.2871287128712871,0.2851553797721863,0.9237057220708447,0.2751935088932599,0.03722098805254771,0.25862068965517243,0.5882352941176471,0.3592814371257485,0.1473316609859467,0.19480519480519481,0.8823529411764706,0.3191489361702128,0.10492361783981329,0.2777777777777778,0.09803921568627451,0.14492753623188406,0.4179084539413455
cnn_1d,0.7570891203703703,0.44896343391218096,0.08087237636652396,0.3116883116883117,0.5,0.384,0.5014364421367647,0.15584415584415584,0.5,0.2376237623762376,0.35126934647560126,0.8126836565688945,0.1066680112960432,0.07433529039489903,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.35082929134368923,0.09090909090909091,0.4117647058823529,0.14893617021276595,0.17442985773086553,0.1,0.13725490196078433,0.11570247933884298,0.5014364421367647
improved_multimodal_gru_transformer_seed_ensemble,0.8079282407407408,0.4842252697745968,0.0624199278310964,0.2987012987012987,0.4791666666666667,0.368,0.37892346978187574,0.23376623376623376,0.75,0.3564356435643564,0.2294021487236023,0.7856672187494435,0.10679936555175662,0.05082823029482743,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.21020902544260028,0.11688311688311688,0.5294117647058824,0.19148936170212766,0.1412880927324295,0.08333333333333333,0.0784313725490196,0.08080808080808081,0.37892346978187574
hybrid_top_rank_ensemble,0.8267650462962963,0.45129892162374696,0.2733354594325133,0.33766233766233766,0.5416666666666666,0.416,0.8588675937745492,0.22077922077922077,0.7083333333333334,0.33663366336633666,0.7359310878597766,0.7745721358479813,0.09053930922471085,0.27613848946376685,0.034482758620689655,0.0784313725490196,0.04790419161676647,0.7821919284861764,0.09956709956709957,0.45098039215686275,0.16312056737588654,0.6891094265284253,0.1,0.0784313725490196,0.08791208791208792,0.8588675937745492
top_neural_rank_ensemble,0.8194444444444444,0.40523344402789546,0.2768810220508545,0.2727272727272727,0.4375,0.336,0.8580405882073545,0.22727272727272727,0.7291666666666666,0.3465346534653465,0.7501381336276464,0.7393278837420527,0.07677468195119533,0.28681115285624825,0.034482758620689655,0.0784313725490196,0.04790419161676647,0.841327491195265,0.08658008658008658,0.39215686274509803,0.14184397163120568,0.7064938834384087,0.043010752688172046,0.0784313725490196,0.05555555555555555,0.8580405882073545
gru,0.8457175925925926,0.42195713377914534,0.10893433402498705,0.2857142857142857,0.4583333333333333,0.352,0.679154896736145,0.22727272727272727,0.7291666666666666,0.3465346534653465,0.4811500370502472,0.7290698295667041,0.08528159741259708,0.07004673138128574,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.40455601513385797,0.09956709956709957,0.45098039215686275,0.16312056737588654,0.23612904250621805,0.0,0.0,0.0,0.679154896736145
logistic_regression,0.8326388888888889,0.31291049067041193,0.4039421749180712,0.2597402597402597,0.4166666666666667,0.32,0.9997065903371672,0.2077922077922078,0.6666666666666666,0.31683168316831684,0.9954346211083006,0.7250449680326263,0.08819464795536926,0.17096698915010067,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.9484852507456366,0.06060606060606061,0.27450980392156865,0.09929078014184398,0.40221621554808357,0.16666666666666666,0.11764705882352941,0.13793103448275862,0.9997065903371672
elastic_net_logistic_regression,0.8324363425925926,0.32806084699523447,0.41161106164591627,0.2727272727272727,0.4375,0.336,0.9994788944721222,0.2077922077922078,0.6666666666666666,0.31683168316831684,0.9939014077186584,0.7237805203825399,0.08711796709394189,0.17366443169277518,0.09482758620689655,0.21568627450980393,0.1317365269461078,0.944325810670853,0.06060606060606061,0.27450980392156865,0.09929078014184398,0.44411004781723035,0.14285714285714285,0.09803921568627451,0.11627906976744186,0.9994788944721222
gru_seed_ensemble,0.8271122685185185,0.39229980944573645,0.11499321529161444,0.22077922077922077,0.3541666666666667,0.272,0.6904449224472046,0.22077922077922077,0.7083333333333334,0.33663366336633666,0.49028890132904057,0.715338996634076,0.09804549186130564,0.0797057371027978,0.1206896551724138,0.27450980392156865,0.16766467065868262,0.4722490251064305,0.09090909090909091,0.4117647058823529,0.14893617021276595,0.302788919210434,0.07407407407407407,0.0392156862745098,0.05128205128205128,0.6904449224472046
lstm,0.7182291666666667,0.29582581682700776,0.09039580550090702,0.16883116883116883,0.2708333333333333,0.208,0.5605914056301117,0.19480519480519481,0.625,0.297029702970297,0.3306971788406374,0.6478424248900287,0.11715275916414661,0.0728911934353321,0.1206896551724138,0.27450980392156865,0.16766467065868262,0.42843861877918266,0.06493506493506493,0.29411764705882354,0.10638297872340426,0.21643611490726486,0.2,0.2549019607843137,0.22413793103448276,0.5605914056301117
transformer_encoder,0.8244212962962962,0.3274593232127477,0.0892711561831074,0.2597402597402597,0.4166666666666667,0.32,0.4398114025592815,0.19480519480519481,0.625,0.297029702970297,0.05938770547509197,0.6441381275489305,0.07601191396236473,0.0692718454622075,0.12931034482758622,0.29411764705882354,0.17964071856287425,0.12085948288440788,0.06493506493506493,0.29411764705882354,0.10638297872340426,0.03603800833225251,0.1388888888888889,0.19607843137254902,0.16260162601626016,0.4398114025592815
tcn,0.6740451388888888,0.296748676781254,0.12602689461202823,0.2597402597402597,0.4166666666666667,0.32,0.48600692152976993,0.14285714285714285,0.4583333333333333,0.21782178217821782,0.4202068269252777,0.5872736015387081,0.05002408075434276,0.1616150362881295,0.0,0.0,0.0,0.630555945634842,0.03463203463203463,0.1568627450980392,0.05673758865248227,0.3855695962905884,0.0,0.0,0.0,0.48600692152976993
extra_trees_tuned,0.5591724537037037,0.06490877569616775,0.16877600139379137,0.0,0.0,0.0,0.5608894814132057,0.0,0.0,0.0,0.4771889260782611,0.5300707022136738,0.04667087219089579,0.12182751236100708,0.017241379310344827,0.0392156862745098,0.023952095808383235,0.45087632271778233,0.06493506493506493,0.29411764705882354,0.10638297872340426,0.40441328525516107,0.0,0.0,0.0,0.5608894814132057
random_forest_tuned,0.6638888888888889,0.08593171297973005,0.12311121817470373,0.0,0.0,0.0,0.5485484674268448,0.06493506493506493,0.20833333333333334,0.09900990099009901,0.3854858517775138,0.47632277252408683,0.04275903060772972,0.1095116475849513,0.0,0.0,0.0,0.4397494123228276,0.047619047619047616,0.21568627450980393,0.07801418439716312,0.3842362914003296,0.0,0.0,0.0,0.5485484674268448
lightgbm_tuned,0.6623697916666665,0.1012958759433081,0.05912257753797969,0.0,0.0,0.0,0.05685112215999418,0.0,0.0,0.0,0.041889208888004244,0.4663763779808018,0.0529630324189902,0.04245104678163472,0.05945945945945946,0.21568627450980393,0.09322033898305085,0.05685112215999418,0.044,0.21568627450980393,0.07308970099667775,0.04489816328184365,0.05945945945945946,0.21568627450980393,0.09322033898305085,0.05685112215999418
attention_gru_seed_ensemble,0.7630208333333333,0.337341101240531,0.10304462810815278,0.2727272727272727,0.4375,0.336,0.39863090813159946,0.18181818181818182,0.5833333333333334,0.27722772277227725,0.34419886469841005,0.4253708749621556,0.036684650479861566,0.10177841540116112,0.0,0.0,0.0,0.37807951569557197,0.03463203463203463,0.1568627450980392,0.05673758865248227,0.3253407061100006,0.0,0.0,0.0,0.39863090813159946
attention_gru,0.8002893518518519,0.3584485305765765,0.09232024718493394,0.2727272727272727,0.4375,0.336,0.3796757012605667,0.17532467532467533,0.5625,0.26732673267326734,0.329768842458725,0.41240583426831223,0.034887970949075524,0.09710301354311292,0.0,0.0,0.0,0.36742431521415714,0.0,0.0,0.0,0.308091551065445,0.0,0.0,0.0,0.3796757012605667
xgboost_tuned,0.690552662037037,0.1764044983982704,0.24930435409960175,0.11428571428571428,0.5833333333333334,0.19112627986348124,0.5276816487312317,0.11428571428571428,0.5833333333333334,0.19112627986348124,0.5276816487312317,0.40151555626792046,0.04776531800333178,0.2449392988895961,0.01818181818181818,0.0784313725490196,0.02952029520295203,0.5276816487312317,0.01680672268907563,0.0784313725490196,0.02768166089965398,0.5233720541000366,0.01818181818181818,0.0784313725490196,0.02952029520295203,0.5276816487312317
catboost_tuned,0.7411168981481482,0.13343005760118706,0.21749224367430553,0.11235955056179775,0.20833333333333334,0.145985401459854,0.5420852108818287,0.14193548387096774,0.4583333333333333,0.21674876847290642,0.5238803644260556,0.3902690958308846,0.04267561350678423,0.20567437369684363,0.0,0.0,0.0,0.5166425881990788,0.0,0.0,0.0,0.5103897958425583,0.0,0.0,0.0,0.5420852108818287
flattened_window_xgboost_tuned,0.9031828703703705,0.4276954040848719,0.1548532512046218,0.2727272727272727,0.4375,0.336,0.6240543007850649,0.2597402597402597,0.8333333333333334,0.39603960396039606,0.534190559387207,0.3259692614557176,0.03095422730754451,0.18255047679620137,0.0,0.0,0.0,0.6521279931068421,0.017316017316017316,0.0784313725490196,0.028368794326241134,0.534298849105835,0.014285714285714285,0.0392156862745098,0.020942408376963352,0.6240543007850649
